City Name,Country,Temp (F),Humidity %,Cloudiness %,Wind Speed (mph),lat,long
saint-joseph,re,66.2,59,19,6.93,-21.37,55.62
albany,au,64.4,68,75,9.17,-35.02,117.89
provideniya,ru,36.28,76,42,8.79,64.38,-173.3
san patricio,mx,79.61,80,28,1.39,19.22,-104.7
butaritari,ki,82.72,72,98,10.76,3.07,172.79
cape town,za,46.4,87,75,6.93,-33.93,18.42
dingle,ie,48.11,72,85,6.6,52.14,-10.27
lebu,cl,48.07,89,7,11.01,-37.62,-73.65
ponta do sol,cv,80.6,88,40,5.82,17.2,-25.09
ushuaia,ar,35.6,93,75,18.34,-54.8,-68.3
bluff,nz,46,77,79,18.99,-46.6,168.33
yellowknife,ca,43,93,90,2.24,62.46,-114.35
morondava,mg,71.69,90,64,7.67,-20.28,44.28
upernavik,gl,27.41,93,99,3.53,72.79,-56.15
vieux-habitants,gp,77,94,26,1.12,16.06,-61.77
bengkulu,id,82.54,69,93,7.65,-3.8,102.27
cherskiy,ru,44.24,67,1,20.47,68.75,161.3
narsaq,gl,37.4,51,0,9.17,60.92,-46.05
rikitea,pf,74.46,83,4,12.28,-23.12,-134.97
busselton,au,61,83,99,1.99,-33.65,115.33
luderitz,na,52,68,0,20.47,-26.65,15.16
saint george,bm,77,78,75,14.99,32.38,-64.68
guapo,br,75.2,50,0,4.85,-16.83,-49.53
okhotsk,ru,52.66,76,99,9.15,59.38,143.3
dikson,ru,37.98,78,100,21.94,73.51,80.55
kahului,us,87.8,48,90,21.92,20.89,-156.47
port alfred,za,51.57,66,11,16.2,-33.59,26.89
torbay,ca,54,76,75,18.34,47.67,-52.73
punta arenas,cl,37.4,86,75,19.46,-53.15,-70.92
port elizabeth,za,48.2,76,20,8.05,-33.92,25.57
hithadhoo,mv,82.54,67,84,3.51,-0.6,73.08
honningsvag,no,43.66,67,6,19.53,70.98,25.97
katsuura,jp,70,81,100,9.62,35.13,140.3
minbu,mm,84.36,72,2,8.41,20.18,94.88
along,in,71.74,89,100,1.36,28.17,94.77
eydhafushi,mv,81.84,79,50,7.63,5.1,73.07
qaanaaq,gl,12.22,76,91,7.34,77.48,-69.36
hilo,us,82.4,61,75,8.05,19.73,-155.09
melbu,no,40.03,71,0,5.23,68.5,14.83
haysville,us,78.01,53,1,16.11,37.56,-97.35
satipo,pe,70.93,77,93,2.77,-11.25,-74.64
buraydah,sa,75.2,33,0,9.17,26.33,43.98
saint-philippe,re,66.2,59,36,6.93,-21.36,55.77
arraial do cabo,br,72.75,88,0,20.42,-22.97,-42.03
do gonbadan,ir,69.8,40,0,4.94,30.36,50.8
rio gallegos,ar,42.8,71,89,8.05,-51.62,-69.22
fort nelson,ca,46.4,93,75,2.24,58.81,-122.7
castro,cl,48.99,90,42,2.42,-42.47,-73.77
kapaa,us,84.2,62,40,11.41,22.08,-159.32
hobart,au,54,49,40,12.75,-42.88,147.33
pisco,pe,63,77,0,6.93,-13.7,-76.22
mount gambier,au,55.4,62,40,4.7,-37.83,140.77
iqaluit,ca,26.6,79,20,5.82,63.75,-68.51
necochea,ar,53.01,99,100,5.99,-38.55,-58.74
manoel urbano,br,77.49,71,80,3.06,-8.84,-69.26
sola,vu,80.37,79,51,18.54,-13.88,167.55
paraisopolis,br,63.82,57,7,0.74,-22.55,-45.78
baculin,ph,85.12,66,76,4.72,7.45,126.58
manggar,id,82,67,100,4.03,-2.88,108.27
zhigansk,ru,47.01,75,33,3.2,66.77,123.37
nome,us,42.8,41,1,5.82,64.5,-165.41
vila franca do campo,pt,69.8,88,75,13.87,37.72,-25.43
puente nacional,co,62.38,81,94,1.34,5.88,-73.68
hamilton,bm,77,78,75,14.99,32.29,-64.78
gamba,ga,74.05,81,89,7.29,-2.65,10
tasiilaq,gl,34.83,92,100,1.32,65.61,-37.64
kayasula,ru,64.09,55,7,10.85,44.33,45
vernon,us,80.6,57,1,14.99,34.15,-99.27
aginskoye,ru,49.64,54,49,22.17,51.1,114.53
yendi,gh,73.98,94,100,2.44,9.44,-0.01
geraldton,au,68,52,90,5.82,-28.77,114.6
kaitangata,nz,46.99,62,93,24,-46.28,169.85
whitehorse,ca,51.8,53,75,12.75,60.72,-135.05
carnarvon,au,73.4,46,43,12.75,-24.87,113.63
kununurra,au,91.4,49,35,6.93,-15.77,128.73
shimoni,ke,74.34,85,18,3.4,-4.65,39.38
new norfolk,au,54,66,74,3,-42.78,147.06
tura,in,76.77,95,100,5.41,25.52,90.22
saskylakh,ru,36.46,84,100,15.66,71.92,114.08
la ronge,ca,50,76,90,6.93,55.1,-105.28
prado,br,70.09,90,17,5.5,-17.34,-39.22
danjiangkou,cn,74.84,65,61,7.83,32.54,111.51
portland,au,53.56,50,9,6.33,-38.33,141.6
jamestown,sh,61.63,90,100,23.53,-15.94,-5.72
samarai,pg,79.23,87,65,16.31,-10.62,150.67
mackenzie,ca,51.8,53,75,2.24,55.3,-123.17
atuona,pf,78.44,71,1,12.33,-9.8,-139.03
kavieng,pg,83.48,79,87,10.89,-2.57,150.8
baoding,cn,77.67,42,39,2.8,38.85,115.49
walvis bay,na,48,87,0,4.7,-22.96,14.51
thunder bay,ca,55.4,93,90,4.7,48.4,-89.32
sistranda,no,46.4,75,75,8.05,63.73,8.83
georgetown,sh,72.88,75,100,16.96,-7.93,-14.42
harrisonburg,us,63,68,3,0.81,38.45,-78.87
comodoro rivadavia,ar,59,38,0,6.93,-45.87,-67.5
mahibadhoo,mv,82.24,73,34,6.2,3.78,72.97
teguldet,ru,41.81,85,8,3.89,57.31,88.17
kodiak,us,51.8,62,1,8.05,57.79,-152.41
katima mulilo,na,60.8,44,0,2.24,-17.5,24.27
